date,equity,daily_return,cumulative_return
2023-06-01,1000000.0,0.0,0.0
2023-06-02,1000000.0,0.0,0.0
2023-06-05,1000000.0,0.0,0.0
2023-06-06,1000000.0,0.0,0.0
2023-06-07,1000000.0,0.0,0.0
2023-06-08,1000000.0,0.0,0.0
2023-06-09,1000000.0,0.0,0.0
2023-06-12,1000000.0,0.0,0.0
2023-06-13,1000000.0,0.0,0.0
2023-06-14,1000000.0,0.0,0.0
2023-06-15,1000000.0,0.0,0.0
2023-06-16,1000000.0,0.0,0.0
2023-06-19,1000000.0,0.0,0.0
2023-06-20,1000000.0,0.0,0.0
2023-06-21,1000000.0,0.0,0.0
2023-06-26,1000000.0,0.0,0.0
2023-06-27,1000000.0,0.0,0.0
2023-06-28,1000000.0,0.0,0.0
2023-06-29,1000000.0,0.0,0.0
2023-06-30,1000000.0,0.0,0.0
2023-07-03,1000000.0,0.0,0.0
2023-07-04,1000000.0,0.0,0.0
2023-07-05,1000000.0,0.0,0.0
2023-07-06,1000000.0,0.0,0.0
2023-07-07,1000000.0,0.0,0.0
2023-07-10,1000000.0,0.0,0.0
2023-07-11,1000000.0,0.0,0.0
2023-07-12,1000000.0,0.0,0.0
2023-07-13,1000000.0,0.0,0.0
2023-07-14,1000000.0,0.0,0.0
2023-07-17,1000000.0,0.0,0.0
2023-07-18,1000000.0,0.0,0.0
2023-07-19,1000000.0,0.0,0.0
2023-07-20,1000000.0,0.0,0.0
2023-07-21,1000000.0,0.0,0.0
2023-07-24,1000000.0,0.0,0.0
2023-07-25,1000000.0,0.0,0.0
2023-07-26,1000000.0,0.0,0.0
2023-07-27,1000000.0,0.0,0.0
2023-07-28,1000000.0,0.0,0.0
2023-07-31,1000000.0,0.0,0.0
2023-08-01,1000000.0,0.0,0.0
2023-08-02,1000000.0,0.0,0.0
2023-08-03,1000000.0,0.0,0.0
2023-08-04,1000000.0,0.0,0.0
2023-08-07,1000000.0,0.0,0.0
2023-08-08,1000000.0,0.0,0.0
2023-08-09,1000000.0,0.0,0.0
2023-08-10,1000000.0,0.0,0.0
2023-08-11,1000000.0,0.0,0.0
2023-08-14,1000000.0,0.0,0.0
2023-08-15,1000000.0,0.0,0.0
2023-08-16,1000000.0,0.0,0.0
2023-08-17,1000000.0,0.0,0.0
2023-08-18,1000000.0,0.0,0.0
2023-08-21,1000000.0,0.0,0.0
2023-08-22,1000000.0,0.0,0.0
2023-08-23,1000000.0,0.0,0.0
2023-08-24,1000000.0,0.0,0.0
2023-08-25,1000000.0,0.0,0.0
2023-08-28,1000935.0,0.000935,0.0009349999999999081
2023-08-29,1003221.0,0.002283864586611518,0.0032209999999999184
2023-08-30,1001114.0,-0.002100235142605667,0.0011140000000000594
