symbol,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,holding_days,exit_reason
300759,1970-01-01,1970-01-01,21.201,20.889,-2374.72,-0.0147,0,signal_reverse
688271,1970-01-01,1970-01-01,110.741,110.889,5.48,0.0013,0,signal_reverse
601136,1970-01-01,1970-01-01,20.37,19.301,-7991.75,-0.0525,0,signal_reverse
688472,1970-01-01,1970-01-01,9.359,10.752,22066.58,0.1488,0,take_profit
600377,1970-01-01,1970-01-01,12.252,14.076,22026.46,0.1488,0,take_profit
601838,1970-01-01,1970-01-01,15.095,14.136,-9678.31,-0.0635,0,signal_reverse
600919,1970-01-01,1970-01-01,8.038,7.702,-6431.01,-0.0418,0,signal_reverse
600233,1970-01-01,1970-01-01,15.325,15.774,4155.42,0.0293,0,signal_reverse
600690,1970-01-01,1970-01-01,25.205,24.296,-5552.4,-0.0361,0,signal_reverse
300979,1970-01-01,1970-01-01,59.6,65.764,15197.84,0.1034,0,signal_reverse
600276,1970-01-01,1970-01-01,42.232,42.667,1328.71,0.0103,0,signal_reverse
600660,1970-01-01,1970-01-01,46.246,53.13,21806.97,0.1488,0,take_profit
300832,1970-01-01,1970-01-01,62.933,72.3,21329.2,0.1488,0,take_profit
600989,1970-01-01,1970-01-01,15.025,17.261,21918.92,0.1489,0,take_profit
600522,1970-01-01,1970-01-01,12.863,14.777,21986.92,0.1488,0,take_profit
300628,1970-01-01,1970-01-01,33.373,38.341,21638.22,0.1488,0,take_profit
601058,1970-01-01,1970-01-01,13.814,15.87,21983.97,0.1488,0,take_profit
603986,1970-01-01,1970-01-01,70.05,80.477,21676.87,0.1488,0,take_profit
601006,1970-01-01,1970-01-01,6.146,7.061,22098.44,0.1488,0,take_profit
300122,1970-01-01,1970-01-01,30.18,34.672,21791.48,0.1488,0,take_profit
300418,1970-01-01,1970-01-01,44.775,40.257,-15081.34,-0.1009,0,stop_loss
600160,1970-01-01,1970-01-01,24.514,22.041,-15263.21,-0.1009,0,stop_loss
300803,1970-01-01,1970-01-01,92.022,105.719,21696.05,0.1488,0,take_profit
600036,1970-01-01,1970-01-01,41.411,37.233,-15216.52,-0.1009,0,stop_loss
300122,1970-01-01,1970-01-01,39.039,36.553,-9625.82,-0.0637,0,signal_reverse
300418,1970-01-01,1970-01-01,43.043,38.7,-14937.39,-0.1009,0,stop_loss
002916,1970-01-01,1970-01-01,120.12,116.174,-4916.78,-0.0329,0,signal_reverse
601127,1970-01-01,1970-01-01,95.095,85.5,-14559.35,-0.1009,0,stop_loss
603019,1970-01-01,1970-01-01,56.056,50.4,-14876.08,-0.1009,0,stop_loss
300418,1970-01-01,1970-01-01,39.339,35.37,-15258.2,-0.1009,0,stop_loss
600233,1970-01-01,1970-01-01,16.597,16.733,1034.25,0.0082,0,signal_reverse
600066,1970-01-01,1970-01-01,26.557,24.645,-10882.14,-0.072,0,signal_reverse
002625,1970-01-01,1970-01-01,27.507,31.602,21888.39,0.1488,0,take_profit
603993,1970-01-01,1970-01-01,8.018,7.992,-680.67,-0.0032,0,signal_reverse
300803,1970-01-01,1970-01-01,80.28,92.23,21293.66,0.1489,0,take_profit
002916,1970-01-01,1970-01-01,113.714,112.587,-1654.46,-0.0099,0,signal_reverse
300803,1970-01-01,1970-01-01,92.673,106.467,21849.45,0.1488,0,take_profit
300803,1970-01-01,1970-01-01,107.898,97.011,-14316.9,-0.1009,0,stop_loss
600036,1970-01-01,1970-01-01,38.769,39.061,917.29,0.0075,0,signal_reverse
002625,1970-01-01,1970-01-01,35.866,41.204,21668.76,0.1488,0,take_profit
600660,1970-01-01,1970-01-01,56.556,58.282,4288.42,0.0305,0,signal_reverse
603986,1970-01-01,1970-01-01,82.282,88.511,11005.44,0.0757,0,signal_reverse
601127,1970-01-01,1970-01-01,96.476,110.837,21324.63,0.1488,0,take_profit
300803,1970-01-01,1970-01-01,96.576,94.455,-3365.73,-0.022,0,signal_reverse
601127,1970-01-01,1970-01-01,107.017,122.946,22077.49,0.1488,0,take_profit
603019,1970-01-01,1970-01-01,58.538,67.252,21565.06,0.1488,0,take_profit
002625,1970-01-01,1970-01-01,39.009,44.815,21843.26,0.1488,0,take_profit
601058,1970-01-01,1970-01-01,15.105,14.545,-5727.73,-0.0371,0,signal_reverse
603019,1970-01-01,1970-01-01,70.57,81.075,21837.95,0.1488,0,take_profit
600585,1970-01-01,1970-01-01,25.926,26.533,3266.37,0.0234,0,signal_reverse
601058,1970-01-01,1970-01-01,14.605,14.515,-1101.5,-0.0061,0,signal_reverse
600160,1970-01-01,1970-01-01,20.52,22.028,10795.34,0.0735,0,signal_reverse
601127,1970-01-01,1970-01-01,129.129,148.35,20930.8,0.1488,0,take_profit
002625,1970-01-01,1970-01-01,46.777,42.057,-15278.23,-0.1009,0,stop_loss
601058,1970-01-01,1970-01-01,14.775,14.585,-2104.04,-0.0128,0,signal_reverse
300418,1970-01-01,1970-01-01,48.248,43.38,-15266.38,-0.1009,0,stop_loss
002916,1970-01-01,1970-01-01,114.314,102.78,-15168.29,-0.1009,0,stop_loss
601127,1970-01-01,1970-01-01,138.739,124.74,-14160.89,-0.1009,0,stop_loss
688271,1970-01-01,1970-01-01,126.126,144.9,20444.03,0.1489,0,take_profit
300033,1970-01-01,1970-01-01,317.317,364.55,18703.49,0.1488,0,take_profit
601838,1970-01-01,1970-01-01,16.396,16.044,-3397.0,-0.0215,0,signal_reverse
300442,1970-01-01,1970-01-01,48.909,45.534,-10300.9,-0.069,0,signal_reverse
601838,1970-01-01,1970-01-01,16.436,16.164,-2671.88,-0.0166,0,signal_reverse
002916,1970-01-01,1970-01-01,116.266,117.203,941.0,0.0081,0,signal_reverse
600919,1970-01-01,1970-01-01,8.498,9.763,22040.62,0.1488,0,take_profit
001965,1970-01-01,1970-01-01,12.182,13.995,22080.0,0.1488,0,take_profit
002916,1970-01-01,1970-01-01,128.659,124.875,-4340.45,-0.0294,0,signal_reverse
600015,1970-01-01,1970-01-01,7.487,8.002,10082.15,0.0687,0,backtest_end
601988,1970-01-01,1970-01-01,4.985,5.504,15421.86,0.1042,0,backtest_end
601818,1970-01-01,1970-01-01,3.604,3.866,10712.17,0.0729,0,backtest_end
601288,1970-01-01,1970-01-01,4.775,5.335,17362.79,0.1173,0,backtest_end
601328,1970-01-01,1970-01-01,7.457,7.762,5923.25,0.0409,0,backtest_end
600066,1970-01-01,1970-01-01,24.845,26.354,8847.24,0.0607,0,backtest_end
002625,1970-01-01,1970-01-01,48.228,47.752,-1667.98,-0.0099,0,backtest_end
